sha	scope	path_or_hunk	decision	reason	target_batch
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_hu.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_it.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_pl.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_tr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_vi.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/items/items_zh.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/levels/levels_fr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/misc/misc_el.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/misc/misc_fr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/misc/misc_hu.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/misc/misc_it.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/plants/plants_cs.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_be.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_cs.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_de.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_el.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_eo.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_es.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_fr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_hu.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_in.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_it.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_ja.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_ko.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_nl.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_pl.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_pt.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_ru.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_tr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_uk.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_vi.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/scenes/scenes_zh.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/ui/ui_hu.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/ui/ui_ru.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/windows/windows_cs.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/windows/windows_el.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/windows/windows_fr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/windows/windows_hu.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/windows/windows_pl.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/windows/windows_ru.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/assets/messages/windows/windows_tr.properties	slice2	reviewed: override -	slice2-feature
b487648371fffd9a4279d5219817b4637d4b42c1	path	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java	slice2	reviewed: override -	slice2-feature
2f8892360a608fc75bfcf18dbeae4859efde5854	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-level
118a7681710fed3c38018954c4ce304daeee4aef	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-level
e7dbe79c154f566e9f5fc641c03b7981b94d15b2	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-item
4ff769d0ef0101ac3017171da53fc0a825a74e07	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-mob
175a344fb548bf791144990abb85b047070dccec	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-item
ad856bdea3b55dbb227afb82539386fca113eec3	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-misc
bf4fd5c66f33b4852571cf1e50e7e290a1f8af0f	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-mob
8a143658fba9ed9bd2b8fd3f137ab3e8b847b1aa	commit	all	slice2	reclassified 2026-07-25 (frontier, Task 16 boundary): new blacksmith/crystal/gnoll/fungi quest-content mob work, not Slice 1 combat tuning. The 2026-07-25 machine triage marked these triaged-mob because its marker scan reads added lines only and these reference quest state without naming the marker classes. Prior: TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	slice2-feature
2b6d21be550a76dc85fe77401231da8b4f526ba4	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-level
86910fb5e03c423f57b811c730843179de1c8ff8	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-level
91fa8b440f58658af73ee52f33586284323db051	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Confirmed cold: touches no com.shatteredpixel game class. cold-code classification upheld. Prior: provisional: cold code (general engine/tuning)	cold-code
b8e68533b99bdeeb994bd5c34bd678ec26bcca32	commit	all	slice1	reviewed: Reviewed as Slice 1 engine or tuning work: fixed instakill effects not working on raging brutes.	hotspot-char
7215fc999d6b67651d9bdc1659432ae04851d243	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-mob
e3a11ba7711d9e3c19ac21f318c71bae2b10398a	commit	all	slice1	reviewed: Reviewed as Slice 1 engine or tuning work: added support for narrow non-breaking space to fonts.	platform-review
77ea415dc72490698612f2c8f16ac9661ae01061	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-item
e92ed1276ca453279c927ba5a268c0391a9f76d4	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Needs a frontier call: references slice2 content or Dungeon.branch on added lines, or touches a class absent from CPDU and not created anywhere in v2.1.0..v2.5.4. Prior: provisional: cold code (general engine/tuning)	frontier-mixed
2e69f141182bfdaa3573bdfbd68a348c02ae40ff	commit	all	slice2	provisional: Slice 2 feature path(s) only	slice2-feature
284513c4da62bc008deb6a7a828555c13dca6d71	commit	all	excluded	reviewed: Upstream app-version and changelog or welcome metadata are excluded; they do not implement CPDU engine or tuning behavior.	frontier-mixed
284513c4da62bc008deb6a7a828555c13dca6d71	path	build.gradle	excluded	reviewed: override -	excluded-reviewed
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	commit	all	mixed	reviewed: Generic translation bundles contain v2.5 feature strings and are deferred whole-file to Slice 2; upstream version and changelog paths remain excluded.	frontier-mixed
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	build.gradle	excluded	reviewed: override -	excluded-reviewed
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_cs.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_de.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_el.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_eo.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_es.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_fr.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_hu.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_in.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_it.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_ja.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_ko.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_nl.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_pl.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_pt.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_ru.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_tr.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_uk.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_vi.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/actors/actors_zh.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_cs.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_de.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_el.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_eo.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_es.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_fr.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_hu.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_in.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_it.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_ja.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_ko.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_nl.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_pl.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_pt.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_ru.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_tr.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_uk.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_vi.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/items/items_zh.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/journal/journal_de.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/journal/journal_hu.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/misc/misc_de.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/misc/misc_es.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/scenes/scenes_de.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/ui/ui_hu.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/ui/ui_tr.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/windows/windows_hu.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/assets/messages/windows/windows_zh.properties	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java	slice2	reviewed: override -	slice2-feature
0dda8ea0c39a6e4ad24cc83cfd9572e786aef8b7	path	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/ui/changelist/v2_X_Changes.java	excluded	reviewed: override -	excluded-upstream-docs
fe4e3ef70839289db37a5f45512f09e3507831e3	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Confirmed cold: touches no com.shatteredpixel game class. cold-code classification upheld. Prior: provisional: cold code (general engine/tuning)	cold-code
79c2350cb10dd1a06c7c4cfb5601b8284f798868	commit	all	slice1	reviewed: Mimic scaling-depth correction is a general spawned-mob bugfix; the cursed-wand mention is only an example.	slice2-feature
15eb83aa5e6954b5153e369ef3b49a8762e3bdff	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-item
789ca665c32d361b4d8d79e20e995014852a2208	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Confirmed cold: touches no com.shatteredpixel game class. cold-code classification upheld. Prior: provisional: cold code (general engine/tuning)	cold-code
2fef96f21caff859ba9322a427aa60d35da7d340	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-item
c2b163ae03cd5ee91f277fa89a013a16b62ef65d	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-mob
fb08349cf6f4a149f42ae6a7c2639598110b797f	commit	all	slice1	TRIAGE 2026-07-25 (machine, git+code-graph; NOT a human hunk review). Touches only classes present in CPDU (or created by another in-range slice1 commit); no MiningLevel/Crystal/Gnoll/Blacksmith-quest or Dungeon.branch reference on added lines. Unintegrated Slice 1 candidate, area-bucketed for Tasks 16-20. Hunk review still required. Prior: provisional: cold code (general engine/tuning)	triaged-misc
f4535640713c6efbab0dc742c2766de9871eccad	commit	all	mixed	reviewed: Generic translation bundles contain v2.5 feature strings and are deferred whole-file to Slice 2; upstream version and changelog paths remain excluded.	frontier-mixed
f4535640713c6efbab0dc742c2766de9871eccad	path	build.gradle	excluded	reviewed: override -	excluded-reviewed
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_be.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_cs.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_de.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_el.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_eo.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_es.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_fr.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_hu.properties	slice2	reviewed: override -	slice2-feature
f4535640713c6efbab0dc742c2766de9871eccad	path	core/src/main/assets/messages/actors/actors_in.properties	slice2	reviewed: override -	slice2-feature
