sha	review_kind	status	decision	target_batch	path_overrides	reason
4f786e99ca3717756628eb08784640635dcd1d3a	frontier-required	override	mixed	frontier-mixed	build.gradle=excluded;core/src/main/assets/messages/actors/actors_de.properties=slice2;core/src/main/assets/messages/actors/actors_fr.properties=slice2;core/src/main/assets/messages/actors/actors_hu.properties=slice2;core/src/main/assets/messages/actors/actors_in.properties=slice2;core/src/main/assets/messages/actors/actors_ja.properties=slice2;core/src/main/assets/messages/actors/actors_pt.properties=slice2;core/src/main/assets/messages/actors/actors_ru.properties=slice2;core/src/main/assets/messages/actors/actors_tr.properties=slice2;core/src/main/assets/messages/actors/actors_uk.properties=slice2;core/src/main/assets/messages/actors/actors_vi.properties=slice2;core/src/main/assets/messages/actors/actors_zh.properties=slice2;core/src/main/assets/messages/items/items_cs.properties=slice2;core/src/main/assets/messages/items/items_de.properties=slice2;core/src/main/assets/messages/items/items_el.properties=slice2;core/src/main/assets/messages/items/items_fr.properties=slice2;core/src/main/assets/messages/items/items_hu.properties=slice2;core/src/main/assets/messages/items/items_in.properties=slice2;core/src/main/assets/messages/items/items_ko.properties=slice2;core/src/main/assets/messages/items/items_pt.properties=slice2;core/src/main/assets/messages/items/items_uk.properties=slice2;core/src/main/assets/messages/items/items_vi.properties=slice2;core/src/main/assets/messages/items/items_zh.properties=slice2;core/src/main/assets/messages/levels/levels_de.properties=slice2;core/src/main/assets/messages/levels/levels_ko.properties=slice2;core/src/main/assets/messages/levels/levels_pt.properties=slice2;core/src/main/assets/messages/levels/levels_tr.properties=slice2;core/src/main/assets/messages/misc/misc_de.properties=slice2;core/src/main/assets/messages/misc/misc_fr.properties=slice2;core/src/main/assets/messages/misc/misc_in.properties=slice2;core/src/main/assets/messages/misc/misc_ko.properties=slice2;core/src/main/assets/messages/misc/misc_tr.properties=slice2;core/src/main/assets/messages/misc/misc_uk.properties=slice2;core/src/main/assets/messages/plants/plants_uk.properties=slice2;core/src/main/assets/messages/scenes/scenes_hu.properties=slice2;core/src/main/assets/messages/scenes/scenes_ko.properties=slice2;core/src/main/assets/messages/scenes/scenes_tr.properties=slice2;core/src/main/assets/messages/ui/ui_in.properties=slice2;core/src/main/assets/messages/ui/ui_ko.properties=slice2;core/src/main/assets/messages/ui/ui_ru.properties=slice2;core/src/main/assets/messages/ui/ui_tr.properties=slice2;core/src/main/assets/messages/windows/windows_el.properties=slice2;core/src/main/assets/messages/windows/windows_in.properties=slice2;core/src/main/assets/messages/windows/windows_ko.properties=slice2;core/src/main/assets/messages/windows/windows_pt.properties=slice2;core/src/main/assets/messages/windows/windows_tr.properties=slice2;core/src/main/assets/messages/windows/windows_uk.properties=slice2;core/src/main/assets/messages/windows/windows_vi.properties=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java=slice2	Generic translation bundles contain v2.5 feature strings and are deferred whole-file to Slice 2; upstream version and changelog paths remain excluded.
9ae384018f3da22801231109e568e5649e9a9de6	frontier-required	override	slice2	frontier-mixed	core/src/main/assets/messages/actors/actors_eo.properties=slice2;core/src/main/assets/messages/items/items_eo.properties=slice2;core/src/main/assets/messages/levels/levels_eo.properties=slice2;core/src/main/assets/messages/misc/misc_eo.properties=slice2;core/src/main/assets/messages/plants/plants_eo.properties=slice2;core/src/main/assets/messages/private/private_eo.properties=slice2;core/src/main/assets/messages/scenes/scenes_eo.properties=slice2;core/src/main/assets/messages/ui/ui_eo.properties=slice2;core/src/main/assets/messages/windows/windows_eo.properties=slice2	Generic translation bundles contain v2.5 feature strings, so the complete translation payload is deferred to Slice 2 to avoid same-file feature leakage.
04d3105a1b7905fe8bb1474f744e06cc12961d88	sample	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: buffed salt cube, regen loss now equalizes out.
3c57614a743c7efb9d163fc8cb29f02049bf9e0f	frontier-required	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: fixed ratmog rats not adding entries to the bestiary.
9d3d35a8c7d6453790578d112e0db2936023bc39	frontier-required	approved	slice1	platform-review	-	Reviewed as Slice 1 engine or tuning work: fixed new fullscreen-remembering code not actually triggering.
eab0cd3a3e8be5511498cb23885884d059da81d7	frontier-required	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: jumping toward a distant well not clears that landmark entry.
943222ca96dd641d8532b1f15330a6e87ed62b78	frontier-required	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: fixed underscores in custom notes being used for highlighting.
ef43f245836cf1f7b59c72aa67e733447292c3d3	frontier-required	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: fixed cases where well water landmark entries hinted at secrets.
8261aeeb2be8d8fcc2edd448694a237c4d5c291f	frontier-required	override	slice2	hotspot-hero	-	Hero disguise behavior depends on the deferred cursed-wand shapeshift effect and belongs to Slice 2.
3e31ca13f8422831ddd1e0b13dc54cf766eef256	frontier-required	approved	slice1	hotspot-level	-	Reviewed as Slice 1 engine or tuning work: Fixed compass weirdness in prison boss level.
84181ac652cfd9d30db8a6a7d4f6c09835581e90	frontier-required	approved	slice1	platform-review	-	Reviewed as Slice 1 engine or tuning work: Added game app categorization to Android verison.
168230b1efb088ed4daf8d9e3a3e96795ecd1eac	sample	override	slice2	assets-localization	-	Adept Researcher is a new bestiary or catalog badge asset and belongs to Slice 2.
16784d0194a8151559846fea140e03237e0157de	frontier-required	override	mixed	frontier-mixed	build.gradle=excluded;core/src/main/assets/messages/actors/actors_el.properties=slice2;core/src/main/assets/messages/actors/actors_hu.properties=slice2;core/src/main/assets/messages/actors/actors_pt.properties=slice2;core/src/main/assets/messages/actors/actors_vi.properties=slice2;core/src/main/assets/messages/items/items_el.properties=slice2;core/src/main/assets/messages/items/items_es.properties=slice2;core/src/main/assets/messages/items/items_in.properties=slice2;core/src/main/assets/messages/items/items_ja.properties=slice2;core/src/main/assets/messages/items/items_vi.properties=slice2;core/src/main/assets/messages/items/items_zh.properties=slice2;core/src/main/assets/messages/levels/levels_el.properties=slice2;core/src/main/assets/messages/levels/levels_hu.properties=slice2;core/src/main/assets/messages/misc/misc_el.properties=slice2;core/src/main/assets/messages/scenes/scenes_el.properties=slice2;core/src/main/assets/messages/windows/windows_el.properties=slice2;core/src/main/assets/messages/windows/windows_zh.properties=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/ShatteredPixelDungeon.java=slice2	Generic translation bundles contain v2.5 feature strings and are deferred whole-file to Slice 2; upstream version and changelog paths remain excluded.
3439b8ab2ee24ced8b7727bef8141ceff8ce359f	frontier-required	approved	excluded	excluded-upstream-docs	-	Only upstream historical changelog or commentary content is changed; no CPDU engine hunk is present.
0368b61d89745ba5a92f357f87b3f9e2393792d1	sample	approved	slice1	cold-code	-	Reviewed as Slice 1 engine or tuning work: fixed new story UI not setting region intros as read.
56d3a0da183ca6814ee8babe3dd3feaa3748c1e3	frontier-required	override	mixed	frontier-mixed	build.gradle=excluded;core/src/main/assets/messages/actors/actors_cs.properties=slice2;core/src/main/assets/messages/actors/actors_de.properties=slice2;core/src/main/assets/messages/actors/actors_el.properties=slice2;core/src/main/assets/messages/actors/actors_fr.properties=slice2;core/src/main/assets/messages/actors/actors_hu.properties=slice2;core/src/main/assets/messages/actors/actors_in.properties=slice2;core/src/main/assets/messages/actors/actors_ja.properties=slice2;core/src/main/assets/messages/actors/actors_ko.properties=slice2;core/src/main/assets/messages/actors/actors_nl.properties=slice2;core/src/main/assets/messages/actors/actors_pt.properties=slice2;core/src/main/assets/messages/actors/actors_ru.properties=slice2;core/src/main/assets/messages/actors/actors_uk.properties=slice2;core/src/main/assets/messages/actors/actors_vi.properties=slice2;core/src/main/assets/messages/actors/actors_zh.properties=slice2;core/src/main/assets/messages/items/items_cs.properties=slice2;core/src/main/assets/messages/items/items_de.properties=slice2;core/src/main/assets/messages/items/items_el.properties=slice2;core/src/main/assets/messages/items/items_fr.properties=slice2;core/src/main/assets/messages/items/items_hu.properties=slice2;core/src/main/assets/messages/items/items_in.properties=slice2;core/src/main/assets/messages/items/items_ja.properties=slice2;core/src/main/assets/messages/items/items_nl.properties=slice2;core/src/main/assets/messages/items/items_pt.properties=slice2;core/src/main/assets/messages/items/items_uk.properties=slice2;core/src/main/assets/messages/items/items_vi.properties=slice2;core/src/main/assets/messages/items/items_zh.properties=slice2;core/src/main/assets/messages/levels/levels_de.properties=slice2;core/src/main/assets/messages/levels/levels_hu.properties=slice2;core/src/main/assets/messages/levels/levels_in.properties=slice2;core/src/main/assets/messages/levels/levels_ja.properties=slice2;core/src/main/assets/messages/levels/levels_pt.properties=slice2;core/src/main/assets/messages/levels/levels_zh.properties=slice2;core/src/main/assets/messages/misc/misc_el.properties=slice2;core/src/main/assets/messages/misc/misc_in.properties=slice2;core/src/main/assets/messages/misc/misc_uk.properties=slice2;core/src/main/assets/messages/scenes/scenes_be.properties=slice2;core/src/main/assets/messages/scenes/scenes_cs.properties=slice2;core/src/main/assets/messages/scenes/scenes_de.properties=slice2;core/src/main/assets/messages/scenes/scenes_el.properties=slice2;core/src/main/assets/messages/scenes/scenes_es.properties=slice2;core/src/main/assets/messages/scenes/scenes_fr.properties=slice2;core/src/main/assets/messages/scenes/scenes_hu.properties=slice2;core/src/main/assets/messages/scenes/scenes_in.properties=slice2;core/src/main/assets/messages/scenes/scenes_it.properties=slice2;core/src/main/assets/messages/scenes/scenes_ja.properties=slice2;core/src/main/assets/messages/scenes/scenes_ko.properties=slice2;core/src/main/assets/messages/scenes/scenes_nl.properties=slice2;core/src/main/assets/messages/scenes/scenes_pl.properties=slice2;core/src/main/assets/messages/scenes/scenes_pt.properties=slice2;core/src/main/assets/messages/scenes/scenes_ru.properties=slice2;core/src/main/assets/messages/scenes/scenes_tr.properties=slice2;core/src/main/assets/messages/scenes/scenes_uk.properties=slice2;core/src/main/assets/messages/scenes/scenes_vi.properties=slice2;core/src/main/assets/messages/scenes/scenes_zh.properties=slice2;core/src/main/assets/messages/ui/ui_in.properties=slice2;core/src/main/assets/messages/windows/windows_de.properties=slice2;core/src/main/assets/messages/windows/windows_el.properties=slice2;core/src/main/assets/messages/windows/windows_hu.properties=slice2;core/src/main/assets/messages/windows/windows_in.properties=slice2;core/src/main/assets/messages/windows/windows_zh.properties=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/messages/Languages.java=slice2	Generic translation bundles contain v2.5 feature strings and are deferred whole-file to Slice 2; upstream version and changelog paths remain excluded.
fbf3bfc734fe8b54d2dae44c611c2afae63bd794	frontier-required	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: fixed missing i18n on journal text in main menu.
175c5e06d4e3ea818a74812733f8d1728948ce18	frontier-required	override	slice1	frontier-mixed	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/trinkets/TrinketCatalyst.java=slice1	Existing trinket-selection recovery is a Slice 1 state-loss fix, not a named Slice 2 feature.
422e0cbac553adde4693fbddf8d5a54324651427	frontier-required	override	slice2	frontier-mixed	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/CrystalSpire.java=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/DwarfKing.java=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/RotHeart.java=slice2;core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/actors/mobs/YogDzewa.java=slice2	Every functional hunk supports deferred Slice 2 feature work: minions that die with bosses no longer add to encounter count.
bf973930b7803c7c68757ab97fa61ed09b978aef	frontier-required	approved	slice2	slice2-feature	-	Reviewed as deferred Slice 2 feature work: journal notes window now only highlights current floor.
a9b92035dfeff2e7970ab282ef721a7c13a31e52	frontier-required	override	slice2	frontier-mixed	core/src/main/java/com/shatteredpixel/shatteredpixeldungeon/items/rings/Ring.java=slice2	Every functional hunk supports deferred Slice 2 feature work: fixed revently introduced error with custom notes by item type.
